Date,NIFTY50
2023-03-14,17043.300781
2023-03-15,16972.150391
2023-03-16,16985.599609
2023-03-17,17100.050781
2023-03-20,16988.400391
2023-03-21,17107.500000
2023-03-22,17151.900391
2023-03-23,17076.900391
2023-03-24,16945.050781
2023-03-27,16985.699219
2023-03-28,16951.699219
2023-03-29,17080.699219
2023-03-31,17359.750000
2023-04-03,17398.050781
2023-04-05,17557.050781
2023-04-06,17599.150391
2023-04-10,17624.050781
2023-04-11,17722.300781
2023-04-12,17812.400391
2023-04-13,17828.000000
2023-04-17,17706.849609
2023-04-18,17660.150391
2023-04-19,17618.750000
2023-04-20,17624.449219
2023-04-21,17624.050781
2023-04-24,17743.400391
2023-04-25,17769.250000
2023-04-26,17813.599609
2023-04-27,17915.050781
2023-04-28,18065.000000
2023-05-02,18147.650391
2023-05-03,18089.849609
2023-05-04,18255.800781
2023-05-05,18069.000000
2023-05-08,18264.400391
2023-05-09,18265.949219
2023-05-10,18315.099609
2023-05-11,18297.000000
2023-05-12,18314.800781
2023-05-15,18398.849609
2023-05-16,18286.500000
2023-05-17,18181.750000
2023-05-18,18129.949219
2023-05-19,18203.400391
2023-05-22,18314.400391
2023-05-23,18348.000000
2023-05-24,18285.400391
2023-05-25,18321.150391
2023-05-26,18499.349609
2023-05-29,18598.650391
2023-05-30,18633.849609
2023-05-31,18534.400391
2023-06-01,18487.750000
2023-06-02,18534.099609
2023-06-05,18593.849609
2023-06-06,18599.000000
2023-06-07,18726.400391
2023-06-08,18634.550781
2023-06-09,18563.400391
2023-06-12,18601.500000
2023-06-13,18716.150391
2023-06-14,18755.900391
2023-06-15,18688.099609
2023-06-16,18826.000000
2023-06-19,18755.449219
2023-06-20,18816.699219
2023-06-21,18856.849609
2023-06-22,18771.250000
2023-06-23,18665.500000
2023-06-26,18691.199219
2023-06-27,18817.400391
2023-06-28,18972.099609
2023-06-30,19189.050781
2023-07-03,19322.550781
2023-07-04,19389.000000
2023-07-05,19398.500000
2023-07-06,19497.300781
2023-07-07,19331.800781
2023-07-10,19355.900391
2023-07-11,19439.400391
2023-07-12,19384.300781
2023-07-13,19413.750000
2023-07-14,19564.500000
2023-07-17,19711.449219
2023-07-18,19749.250000
2023-07-19,19833.150391
2023-07-20,19979.150391
2023-07-21,19745.000000
2023-07-24,19672.349609
2023-07-25,19680.599609
2023-07-26,19778.300781
2023-07-27,19659.900391
2023-07-28,19646.050781
2023-07-31,19753.800781
2023-08-01,19733.550781
2023-08-02,19526.550781
2023-08-03,19381.650391
2023-08-04,19517.000000
2023-08-07,19597.300781
2023-08-08,19570.849609
2023-08-09,19632.550781
2023-08-10,19543.099609
2023-08-11,19428.300781
2023-08-14,19434.550781
2023-08-16,19465.000000
2023-08-17,19365.250000
2023-08-18,19310.150391
2023-08-21,19393.599609
2023-08-22,19396.449219
2023-08-23,19444.000000
2023-08-24,19386.699219
2023-08-25,19265.800781
2023-08-28,19306.050781
2023-08-29,19342.650391
2023-08-30,19347.449219
2023-08-31,19253.800781
2023-09-01,19435.300781
2023-09-04,19528.800781
2023-09-05,19574.900391
2023-09-06,19611.050781
2023-09-07,19727.050781
2023-09-08,19819.949219
2023-09-11,19996.349609
2023-09-12,19993.199219
2023-09-13,20070.000000
2023-09-14,20103.099609
2023-09-15,20192.349609
2023-09-18,20133.300781
2023-09-20,19901.400391
2023-09-21,19742.349609
2023-09-22,19674.250000
2023-09-25,19674.550781
2023-09-26,19664.699219
2023-09-27,19716.449219
2023-09-28,19523.550781
2023-09-29,19638.300781
2023-10-03,19528.750000
2023-10-04,19436.099609
2023-10-05,19545.750000
2023-10-06,19653.500000
2023-10-09,19512.349609
2023-10-10,19689.849609
2023-10-11,19811.349609
2023-10-12,19794.000000
2023-10-13,19751.050781
2023-10-16,19731.750000
2023-10-17,19811.500000
2023-10-18,19671.099609
2023-10-19,19624.699219
2023-10-20,19542.650391
2023-10-23,19281.750000
2023-10-25,19122.150391
2023-10-26,18857.250000
2023-10-27,19047.250000
2023-10-30,19140.900391
2023-10-31,19079.599609
2023-11-01,18989.150391
2023-11-02,19133.250000
2023-11-03,19230.599609
2023-11-06,19411.750000
2023-11-07,19406.699219
2023-11-08,19443.500000
2023-11-09,19395.300781
2023-11-10,19425.349609
2023-11-13,19443.550781
2023-11-15,19675.449219
2023-11-16,19765.199219
2023-11-17,19731.800781
2023-11-20,19694.000000
2023-11-21,19783.400391
2023-11-22,19811.849609
2023-11-23,19802.000000
2023-11-24,19794.699219
2023-11-28,19889.699219
2023-11-29,20096.599609
2023-11-30,20133.150391
2023-12-01,20267.900391
2023-12-04,20686.800781
2023-12-05,20855.099609
2023-12-06,20937.699219
2023-12-07,20901.150391
2023-12-08,20969.400391
2023-12-11,20997.099609
2023-12-12,20906.400391
2023-12-13,20926.349609
2023-12-14,21182.699219
2023-12-15,21456.650391
2023-12-18,21418.650391
2023-12-19,21453.099609
2023-12-20,21150.150391
2023-12-21,21255.050781
2023-12-22,21349.400391
2023-12-26,21441.349609
2023-12-27,21654.750000
2023-12-28,21778.699219
2023-12-29,21731.400391
2024-01-01,21741.900391
2024-01-02,21665.800781
2024-01-03,21517.349609
2024-01-04,21658.599609
2024-01-05,21710.800781
2024-01-08,21513.000000
2024-01-09,21544.849609
2024-01-10,21618.699219
2024-01-11,21647.199219
2024-01-12,21894.550781
2024-01-15,22097.449219
2024-01-16,22032.300781
2024-01-17,21571.949219
2024-01-18,21462.250000
2024-01-19,21622.400391
2024-01-23,21238.800781
2024-01-24,21453.949219
2024-01-25,21352.599609
2024-01-29,21737.599609
2024-01-30,21522.099609
2024-01-31,21725.699219
2024-02-01,21697.449219
2024-02-02,21853.800781
2024-02-05,21771.699219
2024-02-06,21929.400391
2024-02-07,21930.500000
2024-02-08,21717.949219
2024-02-09,21782.500000
2024-02-12,21616.050781
2024-02-13,21743.250000
2024-02-14,21840.050781
2024-02-15,21910.750000
2024-02-16,22040.699219
2024-02-19,22122.250000
2024-02-20,22196.949219
2024-02-21,22055.050781
2024-02-22,22217.449219
2024-02-23,22212.699219
2024-02-26,22122.050781
2024-02-27,22198.349609
2024-02-28,21951.150391
2024-02-29,21982.800781
2024-03-01,22338.750000
2024-03-04,22405.599609
2024-03-05,22356.300781
2024-03-06,22474.050781
2024-03-07,22493.550781
2024-03-11,22332.650391
2024-03-12,22335.699219
2024-03-13,21997.699219
2024-03-14,22146.650391
2024-03-15,22023.349609
2024-03-18,22055.699219
2024-03-19,21817.449219
2024-03-20,21839.099609
2024-03-21,22011.949219
2024-03-22,22096.750000
2024-03-26,22004.699219
2024-03-27,22123.650391
2024-03-28,22326.900391
2024-04-01,22462.000000
2024-04-02,22453.300781
2024-04-03,22434.650391
2024-04-04,22514.650391
2024-04-05,22513.699219
2024-04-08,22666.300781
2024-04-09,22642.750000
2024-04-10,22753.800781
2024-04-12,22519.400391
2024-04-15,22272.500000
2024-04-16,22147.900391
2024-04-18,21995.849609
2024-04-19,22147.000000
2024-04-22,22336.400391
2024-04-23,22368.000000
2024-04-24,22402.400391
2024-04-25,22570.349609
2024-04-26,22419.949219
2024-04-29,22643.400391
2024-04-30,22604.849609
2024-05-02,22648.199219
2024-05-03,22475.849609
