date,headline,url
2023-12-13,Mavenir : Open RAN deployments to rise in India by next year : Mavenir,https://economictimes.indiatimes.com/industry/telecom/telecom-news/open-ran-deployments-to-rise-in-india-by-next-year-mavenir/articleshow/105970658.cms
2023-10-27,"Business in the Week Ahead ( October 30 to November 3 , 20230",https://www.moneycontrol.com/news/business/ipo/business-in-the-week-ahead-october-30-to-november-3-20230-11613881.html
2023-12-29,sensex today : Sensex opens last session of the year in the red as heavyweights fall,https://economictimes.indiatimes.com/markets/stocks/news/sensex-opens-last-session-of-the-year-in-the-red-as-heavyweights-fall/articleshow/106366042.cms
2023-11-22,"Stock Market Updates : Sensex Down 90 pts , Nifty Near 19 , 800 ; IDBI Bank Drops 4 % ",https://www.news18.com/business/stock-market-updates-sensex-down-90-pts-nifty-near-19800-idbi-bank-drops-4-8671636.html
2023-12-31,Mcap of eight of top - 10 most valued firms jump Rs1 . 29 lakh cr ; HDFC Bank biggest gainer,https://www.orissapost.com/mcap-of-eight-of-top-10-most-valued-firms-jump-rs1-29-lakh-cr-hdfc-bank-biggest-gainer/
2023-10-03,"Stock Market Updates : Sensex Falls 300 pts , Nifty Below 19 , 550 ; Vedanta Rises 4 % ",https://www.news18.com/business/stock-market-updates-sensex-falls-300-pts-nifty-below-19550-vedanta-rises-4-8600807.html
2023-10-29,"Mcap of top - 10 most valued firms plunge Rs 1 . 93 lakh cr ; TCS , HDFC Bank biggest laggards",https://www.financialexpress.com/market/mcap-of-top-10-most-valued-firms-plunge-rs-1-93-lakh-cr-tcs-hdfc-bank-biggest-laggards-3290125/
2023-10-20,Indian telcos face setbacks after Supreme Court license fee ruling,https://www.lightreading.com/regulatory-politics/indian-telcos-face-setbacks-after-supreme-court-license-fee-ruling-
2023-10-29,"M - cap of top - 10 most valued firms plunge Rs 1 . 93 lakh - crore ; TCS , HDFC Bank biggest laggards",https://www.tribuneindia.com/news/business/m-cap-of-top-10-most-valued-firms-plunge-rs-1-93-lakh-crore-tcs-hdfc-bank-biggest-laggards-557601
2023-11-07,stocks to buy now : Diwali Muhurat picks : Neeraj Chadawar has 9 recommendations & explains why likes them,https://economictimes.indiatimes.com/markets/expert-view/diwali-muhurat-picks-neeraj-chadawar-has-9-recommendations-explains-why-likes-them/articleshow/105035418.cms
2023-12-24,M cap Of Three Top Companies Surges By Rs 70 312 Cr - BW Businessworld,https://www.businessworld.in/article/M-cap-Of-Three-Top-Companies-Surges-By-Rs-70-312-Cr/24-12-2023-503340/
2023-11-19,"Mcap of seven of top 10 firms swells Rs 1 . 50 lakh crore ; TCS , Infosys biggest gainers",https://www.orissapost.com/mcap-of-seven-of-top-10-firms-swells-rs-1-50-lakh-crore-tcs-infosys-biggest-gainers/
2023-12-19,Telecom Bill to bring predictability in spectrum - related matters : Gopal Vittal,https://economictimes.indiatimes.com/industry/telecom/telecom-news/telecom-bill-to-bring-predictability-in-spectrum-related-matters-gopal-vittal/articleshow/106117587.cms
2023-10-21,Bharti Airtel expands 5G network in districts - The Hindu BusinessLine,https://www.thehindubusinessline.com/companies/bharti-airtel-expands-5g-network-in-districts/article67437788.ece
2023-12-21,"Jio , Airtel add nearly 48 lakh mobile subscribers in Sept , VIL loses 7 . 5 lakh users : TRAI data",https://www.dailyexcelsior.com/jio-airtel-add-nearly-48-lakh-mobile-subscribers-in-sept-vil-loses-7-5-lakh-users-trai-data/
2023-11-21,Airtel extends 5G coverage to all 40 districts of Uttar Pradesh West & Uttarakhand,https://www.equitybulls.com/category.php?id=340087
2023-10-31,Bharti Airtel Misses Profit Estimate Hurt by A One - Time Charge,https://www.bloomberg.com/news/articles/2023-10-31/bharti-airtel-misses-profit-estimate-hurt-by-a-one-time-charge
2023-10-06,52 week high stocks : Stock market update : Stocks that hit 52 - week lows on NSE,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse/articleshow/104203895.cms
2023-10-29,M - cap of 10 most valued firms plunged ₹1 . 93 lakh cr last week . See top losers,https://www.hindustantimes.com/business/market-sensex-top-losers-tcs-hdfc-cap-of-top-10-most-valued-firms-plunge-rs-1-93-lakh-crore-see-top-losers-101698556848016.html
2023-10-21,3 top stock recommendations from Rajesh Palviya for next week,https://economictimes.indiatimes.com/markets/expert-view/3-top-stock-recommendations-from-rajesh-palviya-next-week/articleshow/104601746.cms
2023-12-28,Airtel : Airtel to seek reversal of Rs 24 . 9 lakh penalty order received under CGST Act,https://timesofindia.indiatimes.com/gadgets-news/airtel-to-seek-reversal-of-rs-24-9-lakh-penalty-order-received-under-cgst-act/articleshow/106330230.cms
2023-12-26,Airtel to seek reversal of Rs 24 . 9 lakh penalty order received under CGST Act,https://indianexpress.com/article/business/companies/airtel-reversal-rs-24-9-lakh-penalty-order-received-cgst-act-9083783/
2023-10-23,Investegate | Company Announcement,https://www.investegate.co.uk:443/announcement/rns/airtel-africa--aaf/smaller-related-party-transaction/7833763
2023-11-10,Bharti : Fitch affirms Bharti ratings at  BBB - with stable outlook,https://timesofindia.indiatimes.com/business/india-business/fitch-affirms-bhartis-ratings-at-bbb-with-stable-outlook/articleshow/105113552.cms
2023-11-25,Gopal Vittal urges customers to consider adopting E - Sims for convenient and efficient connectivity CorporateNews :: pressnote . in,https://www.pressnote.in/Corporate-News_488326.html
